,Offense,District,Status,Activity,2016,2017
340,UUV,District 1,Conviction,Guilty Pleas,20,15
341,UUV,District 1,No Conviction,Dismissals,21,11
342,UUV,District 1,No Conviction,Not Guilty Verdict,0,1
343,UUV,District 1,In Progress,Pending Cases,3,4
344,UUV,District 2,Arrest,No Papered Cases,13,21
345,UUV,District 2,Arrest,Papered Cases,17,13
346,UUV,District 2,Conviction,Jury Trial,0,0
347,UUV,District 2,Conviction,Court Trial,0,0
348,UUV,District 2,Conviction,Guilty Pleas,9,6
349,UUV,District 2,No Conviction,Dismissals,8,3
350,UUV,District 2,No Conviction,Not Guilty Verdict,0,0
351,UUV,District 2,In Progress,Pending Cases,0,4
352,UUV,District 3,Arrest,No Papered Cases,1,17
353,UUV,District 3,Arrest,Papered Cases,9,4
354,UUV,District 3,Conviction,Jury Trial,0,0
355,UUV,District 3,Conviction,Court Trial,0,0
356,UUV,District 3,Conviction,Guilty Pleas,5,1
357,UUV,District 3,No Conviction,Dismissals,4,2
358,UUV,District 3,No Conviction,Not Guilty Verdict,0,0
359,UUV,District 3,In Progress,Pending Cases,0,1
360,UUV,District 4,Arrest,No Papered Cases,24,31
361,UUV,District 4,Arrest,Papered Cases,23,14
362,UUV,District 4,Conviction,Jury Trial,0,0
363,UUV,District 4,Conviction,Court Trial,0,0
364,UUV,District 4,Conviction,Guilty Pleas,7,5
365,UUV,District 4,No Conviction,Dismissals,11,4
366,UUV,District 4,No Conviction,Not Guilty Verdict,0,0
367,UUV,District 4,In Progress,Pending Cases,5,5
368,UUV,District 5,Arrest,No Papered Cases,64,72
369,UUV,District 5,Arrest,Papered Cases,68,48
370,UUV,District 5,Conviction,Jury Trial,1,0
371,UUV,District 5,Conviction,Court Trial,0,0
372,UUV,District 5,Conviction,Guilty Pleas,25,16
373,UUV,District 5,No Conviction,Dismissals,37,21
374,UUV,District 5,No Conviction,Not Guilty Verdict,0,0
375,UUV,District 5,In Progress,Pending Cases,5,11
376,UUV,District 6,Arrest,No Papered Cases,66,68
377,UUV,District 6,Arrest,Papered Cases,77,58
378,UUV,District 6,Conviction,Jury Trial,1,1
379,UUV,District 6,Conviction,Court Trial,1,1
380,UUV,District 6,Conviction,Guilty Pleas,30,27
381,UUV,District 6,No Conviction,Dismissals,29,20
382,UUV,District 6,No Conviction,Not Guilty Verdict,1,0
383,UUV,District 6,In Progress,Pending Cases,15,9
384,UUV,District 7,Arrest,No Papered Cases,56,38
385,UUV,District 7,Arrest,Papered Cases,52,21
386,UUV,District 7,Conviction,Jury Trial,0,0
387,UUV,District 7,Conviction,Court Trial,1,0
388,UUV,District 7,Conviction,Guilty Pleas,22,4
389,UUV,District 7,No Conviction,Dismissals,27,14
390,UUV,District 7,No Conviction,Not Guilty Verdict,1,0
391,UUV,District 7,In Progress,Pending Cases,1,3
